gender,tweet
female,Watching Neighbours on Sky+ catching up with the Neighbs!! Xxx _______ Xxx
female,"Ive seen people on the train with lamps, chairs, tvs etc  https://t.co/w6zf4pVM4I"
female,@_Aphmau_ the pic defines all mcd fangirls/fanboys and mcd shippers xD
female,@Evielady just how lovely is the tree this year! Never seen it as gorgeous as this #Autumn #colour
female,https://t.co/EROGWTFTYo It's a glow of satisfaction re The Glow https://t.co/7RdyMCVPKx
female,@giannaaa28 lmao __ dude I'm hella scared for next episode bc the ending to yesterday's
female,@CraftYear2015 @isabelpascual thank you for the retweets
female,All the girls went to sleep and the guys just sat in the floor and watched us__
female,@ChrisAOfficial I'm on the right side___xxx
female,@SydnieJR except once the Hallmark movies start I won't get anything done!! ______
female,You leave the group chat for more than 2 mins and you miss made shit
female,"Me the week of Brandon's birthday: there's no such thing as a birthday week u weirdo
Me November 1st: it's my birthday month, bow down to me"
female,This boy was on the El wit his 3 daughters and they all was under 5
female,@MarkHicks1204 I went to the wrong Nandos but I found you eventually #10chilliesequalsfreenandos
female,"VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latest_ https://t.co/uV38Wlg5bE #UK"
female,camerons side of the bed smells SO bad
female,@wishbonecon are u going to the 1.30 one ??
female,"https://t.co/nRN2mGLd2E
Am I the only one who loves the part with Merlin and Regina's face? :D #OUAT"
female,"Please God, let me get a house that has a fireplace in the bedroom!! I have such great ideas for such a room.."
female,that's the 8% they have hidden.. UMPH. https://t.co/OnebBSAG93
female,bad day in the office - but nice to catch up with @thedjbrisk so wish we had more time to catch up x
female,"James Walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order."
female,Amazing: See Igbo Village In The United States OfAmerica https://t.co/Z8A95hAQpE https://t.co/qdQ6HnE735
female,"#Akinator, the Genie App, just guessed that I was thinking of  Katniss Everdeen's Daughter #what? how?"
female,Move Of The Week Double Leg Stretch _ : https://t.co/kxkCEFUxQB ... https://t.co/n7PtOHGaPQ
female,The accuracy though lol  https://t.co/frFforEeLC
female,"Thanks to the #ACA more adults are eligible for #Medicaid in #Illinois &amp; able to apply online.  @YoungInvincible

https://t.co/cfwlLqv4K9"
female,"IBMSocialBiz: In the future, there will be a narrowing of the gap of people's abilities to use tools proficiently. JenniferMcClure #H2HChat_"
