gender,tweet
male,Late Night Shout Out to Ms.Cobbler aka @malpapadam if she's not already passed out from all the Barley and cupcakes.
male,Extreme Networks Supports Demand in Higher Education for Mobile and Personalized Learning Initiatives https://t.co/gKgLKwIDbM
male,id like to thank myself cause i made myself the man i am
male,"Found a Transponder Snail!
Take a look at the Fishmen behind Arlong Park!
#TreCru https://t.co/fwRIxd9a2f"
male,3 of 5 stars to Those Who Leave and Those Who Stay by Elena Ferrante https://t.co/rg6uLow2QU
male,"When people used to say ""woke"" I just assumed they just woke up. Stfu with the gay slang."
male,"@LustrousAdonis

The Russian's brows tugged together at the answer, it was clear that his lips were trying to form the words, it was now "
male,Get this #Scratch course for #Udemy before the price goes up! https://t.co/DKfEAP3iQi #ASAPFerg #ibminsight #SethRussell #JabariBrown
male,@_jurassicClaire ___ you're the crazy American girl
male,I liked a @YouTube video from @mrfruityt https://t.co/Swj8GXr9Sn DESTINY The First Curse Fully Upgraded Exotic Hand Cannon Review (The
male,"Reading @DrAliceRoberts The Incredible Unlikeliness of Being whilst on holiday in Morocco, in front of a log fire. Perfect. Oh, sperm worms!"
male,@mrmichaelsmiley in the kitchen. Wifey says - I really want to see that film..is it The Pelican - pause - do u mean The Lobster ? Oh yeah...
male,@PompeyNewsNow hope the club make it 10 adults 5 kids and fill the ground
male,@Yayyab @ey__ @Truants some of the best doofs this year
male,@thecelticway @glasgowsgreenw @gerrymcculloch1 For sure.Hartson tried it with Lenny and was soon put in his place.
male,"Awesome cover of ""Lead me out of the Dark"" via #Smule: https://t.co/LHP87N3O2j #SingKaraoke"
male,@DWKPutsYouAway Nods and runs to the room.
male,"A piece of exciting news: We are now taking pre-orders for James' latest book, scheduled to be released December... https://t.co/rH7RQiSBKI"
male,@artisticzayn live your 9 year old life good im 12 rn and the struggles at this age is real
male,Fortune favors the funny in Guatemala election: https://t.co/E1Qa16AweK https://t.co/c8nvJn3VaN
male,@BioZero216 everybody. I told him that and he agreed with me. He stands by his original point he was trying to make but he did feel
male,My most and last favorite role at work continues to be 'surrugate thinker-through of things.'
male,"@oakiie *smiles softly and rubs your back,holding you against me* your welcome"
male,"#ENGL2110 For Wednesday, we'll be covering William Blake.  Read ""The Chimney Sweeper,"" ""The Tyger,"" and ""The Poison Tree."""
male,"I just wanna drive  the lambo, skateboarding is so03 https://t.co/b9YOQTke3S"
male,Exhausting is okay. It means you're in the game. You're on the way up and you're not on the way down. - Lee Rosen #quote
male,P11D - should the employee pay NI on Private #School #Fees: https://t.co/9ph55XDsbj
male,#TaxCredits - Labour motion wins! That's to require a report dealing with the IFS criticisms. Best possible outcome.
male,Read This Piece To Learn About The Stock Market - https://t.co/bv4fJ8a8UE https://t.co/ABPijLpNnf
male,Ferg and fall out boy on a track wtf? https://t.co/sYnabaQXPW
male,then when they wake up and realize that nigga been the same trash he always been since day 1 and that her pussy didn't change him they start
male,I'm turnin into a nigga that thinks about money and women Like 24/7
male,"Why do they call them hover boards. They literally do not hover, this isn't that back to the future hover board. #justsaying"
male,Why The Golden Age Of Machine Learning is Just Beginning  https://t.co/VnhisR34z3 #datascience
male,1 new unfollower in the last day. Via https://t.co/K1SASMDLEB
male,"And every voice that cries inside my head, forever drives."
male,Support my good friends @fourteenk and invest in them on @perdiemmusic! https://t.co/4NI5cEjyP8
male,@Lov3rzWorldwide Say He is the one. The eternal. He doesn't have kids nor did anyone have Him. There is nothing like The One.
male,"@Smallest_of_all @BBCRoryCJ Disposal was an *ahem* alimentary matter. The wrappers proved less appetising..
#DownTheSofa"
male,Do you know who are awesome? My 23 new followers in the last day! Growing with https://t.co/hubgfvDOTR
male,What happened there in the last picture ? https://t.co/z3nwCvrANn
male,I'm good for next week on bo3 coming out.  Got the digital deluxe we going iiinnnn
